sample	libsize_75percent	libsize_total_count
simulatedIpp1sample1	29374.0	212925.0
simulatedIpp1sample2	43077.0	361533.0
simulatedIpp1sample3	57713.0	485196.0
simulatedIpp1sample4	51055.0	383447.0
simulatedIpp1sample5	73240.0	541376.0
simulatedIpp1sample6	52469.0	417486.0
simulatedIpp1sample7	26440.0	239553.0
simulatedIpp1sample8	44205.0	390951.0
simulatedIpp1sample9	13190.0	103124.0
simulatedIpp1sample10	20537.0	180067.0
simulatedIpp1sample11	45020.0	305882.0
simulatedIpp1sample12	37876.0	300323.0
simulatedIpp1sample13	6248.0	48668.0
simulatedIpp1sample14	40640.0	339159.0
simulatedIpp1sample15	6696.0	49765.0
simulatedIpp1sample16	24288.0	196125.0
simulatedIpp1sample17	12985.0	110283.0
simulatedIpp1sample18	54973.0	442504.0
simulatedIpp1sample19	33586.0	263805.0
simulatedIpp1sample20	13190.0	109355.0
